bom_parent,bom_parent_name,bom_child,bom_child_name,location,sequence_no,quantity,start_date,end_date
MODEL,MODEL,LTA400HR01-0,40IN FHD 60HZ LCD MODEL,MODEL,10,1,2026-01-01,2099-12-31
LTA400HR01-0,40IN FHD 60HZ LCD MODEL,LTA400HR01-001,LTA400HR01-0 FA,FA,10,1,2026-01-01,2099-12-31
LTA400HR01-001,LTA400HR01-0 FA,LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,OLB,10,1,2026-01-01,2099-12-31
LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,LJ94-100002,LTA400HR01-0 CP ASSEMBLY,CP,10,1,2026-01-01,2099-12-31
LJ94-100002,LTA400HR01-0 CP ASSEMBLY,LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,BIN,10,1,2026-01-01,2099-12-31
LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,LJ94-100004,LTA400HR01-0 LC ASSEMBLY,LC,10,1,2026-01-01,2099-12-31
LJ94-100004,LTA400HR01-0 LC ASSEMBLY,LJ94-100005,LTA400HR01-0 CF ASSEMBLY,CF,10,1,2026-01-01,2099-12-31
LJ94-100005,LTA400HR01-0 CF ASSEMBLY,LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,TFT,10,1,2026-01-01,2099-12-31
LTA400HR01-001,LTA400HR01-0 FA,0001-200001,FRAME,FA_FRAME,20,1,2026-01-01,2099-12-31
LTA400HR01-001,LTA400HR01-0 FA,0001-200002,BRACKET,FA_BRACKET,30,4,2026-01-01,2099-12-31
LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,0001-200003,OLB DRIVER IC,OLB_DRIVER_IC,20,6,2026-01-01,2099-12-31
LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,0001-200004,OLB FPCB,OLB_FPCB,30,2,2026-01-01,2099-12-31
LJ94-100002,LTA400HR01-0 CP ASSEMBLY,0001-200005,POLARIZER,CP_POLARIZER,20,2,2026-01-01,2099-12-31
LJ94-100002,LTA400HR01-0 CP ASSEMBLY,0001-200006,OPTICAL ADHESIVE,CP_ADHESIVE,30,1,2026-01-01,2099-12-31
LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,0001-200007,BIN FILM,BIN_BIN_FILM,20,2,2026-01-01,2099-12-31
LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,0001-200008,SPACER,BIN_SPACER,30,8,2026-01-01,2099-12-31
LJ94-100004,LTA400HR01-0 LC ASSEMBLY,0001-200009,LIQUID CRYSTAL,LC_LIQUID_CRYSTAL,20,1,2026-01-01,2099-12-31
LJ94-100004,LTA400HR01-0 LC ASSEMBLY,0001-200010,LC SEALANT,LC_SEALANT,30,1,2026-01-01,2099-12-31
LJ94-100005,LTA400HR01-0 CF ASSEMBLY,0001-200011,COLOR FILTER GLASS,CF_CF_GLASS,20,1,2026-01-01,2099-12-31
LJ94-100005,LTA400HR01-0 CF ASSEMBLY,0001-200012,BLACK MATRIX MATERIAL,CF_BLACK_MATRIX,30,1,2026-01-01,2099-12-31
LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,0001-200013,TFT ARRAY GLASS,TFT_TFT_GLASS,10,1,2026-01-01,2099-12-31
LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,0001-200014,GATE DRIVER IC,TFT_GATE_IC,20,4,2026-01-01,2099-12-31
MODEL,MODEL,LTA400HR02-0,40IN FHD 120HZ LCD MODEL,MODEL,20,1,2026-02-01,2099-12-31
LTA400HR02-0,40IN FHD 120HZ LCD MODEL,LTA400HR02-001,LTA400HR02-0 FA,FA,10,1,2026-02-01,2099-12-31
LTA400HR02-001,LTA400HR02-0 FA,LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,OLB,10,1,2026-02-01,2099-12-31
LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,LJ94-110002,LTA400HR02-0 CP ASSEMBLY,CP,10,1,2026-02-01,2099-12-31
LJ94-110002,LTA400HR02-0 CP ASSEMBLY,LJ94-110003,LTA400HR02-0 BIN ASSEMBLY,BIN,10,1,2026-02-01,2099-12-31
LJ94-110003,LTA400HR02-0 BIN ASSEMBLY,LJ94-110004,LTA400HR02-0 LC ASSEMBLY,LC,10,1,2026-02-01,2099-12-31
LJ94-110004,LTA400HR02-0 LC ASSEMBLY,LJ94-110005,LTA400HR02-0 CF ASSEMBLY,CF,10,1,2026-02-01,2099-12-31
LJ94-110005,LTA400HR02-0 CF ASSEMBLY,LJ94-110006,LTA400HR02-0 TFT ASSEMBLY,TFT,10,1,2026-02-01,2099-12-31
LTA400HR02-001,LTA400HR02-0 FA,0002-210001,FRAME,FA_FRAME,20,1,2026-02-01,2099-12-31
LTA400HR02-001,LTA400HR02-0 FA,0002-210002,BRACKET,FA_BRACKET,30,4,2026-02-01,2099-12-31
LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,0002-210003,OLB DRIVER IC,OLB_DRIVER_IC,20,6,2026-02-01,2099-12-31
LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,0002-210004,OLB FPCB,OLB_FPCB,30,2,2026-02-01,2099-12-31
LJ94-110002,LTA400HR02-0 CP ASSEMBLY,0002-210005,POLARIZER,CP_POLARIZER,20,2,2026-02-01,2099-12-31
LJ94-110002,LTA400HR02-0 CP ASSEMBLY,0002-210006,OPTICAL ADHESIVE,CP_ADHESIVE,30,1,2026-02-01,2099-12-31
LJ94-110003,LTA400HR02-0 BIN ASSEMBLY,0002-210007,BIN FILM,BIN_BIN_FILM,20,2,2026-02-01,2099-12-31
LJ94-110003,LTA400HR02-0 BIN ASSEMBLY,0002-210008,SPACER,BIN_SPACER,30,8,2026-02-01,2099-12-31
LJ94-110004,LTA400HR02-0 LC ASSEMBLY,0002-210009,LIQUID CRYSTAL,LC_LIQUID_CRYSTAL,20,1,2026-02-01,2099-12-31
LJ94-110004,LTA400HR02-0 LC ASSEMBLY,0002-210010,LC SEALANT,LC_SEALANT,30,1,2026-02-01,2099-12-31
LJ94-110005,LTA400HR02-0 CF ASSEMBLY,0002-210011,COLOR FILTER GLASS,CF_CF_GLASS,20,1,2026-02-01,2099-12-31
LJ94-110005,LTA400HR02-0 CF ASSEMBLY,0002-210012,BLACK MATRIX MATERIAL,CF_BLACK_MATRIX,30,1,2026-02-01,2099-12-31
LJ94-110006,LTA400HR02-0 TFT ASSEMBLY,0002-210013,TFT ARRAY GLASS,TFT_TFT_GLASS,10,1,2026-02-01,2099-12-31
LJ94-110006,LTA400HR02-0 TFT ASSEMBLY,0002-210014,GATE DRIVER IC,TFT_GATE_IC,20,4,2026-02-01,2099-12-31
MODEL,MODEL,LTA500HR01-0,50IN UHD 60HZ LCD MODEL,MODEL,30,1,2026-03-01,2099-12-31
LTA500HR01-0,50IN UHD 60HZ LCD MODEL,LTA500HR01-001,LTA500HR01-0 FA,FA,10,1,2026-03-01,2099-12-31
LTA500HR01-001,LTA500HR01-0 FA,LJ94-120001,LTA500HR01-0 OLB ASSEMBLY,OLB,10,1,2026-03-01,2099-12-31
LJ94-120001,LTA500HR01-0 OLB ASSEMBLY,LJ94-120002,LTA500HR01-0 CP ASSEMBLY,CP,10,1,2026-03-01,2099-12-31
LJ94-120002,LTA500HR01-0 CP ASSEMBLY,LJ94-120003,LTA500HR01-0 BIN ASSEMBLY,BIN,10,1,2026-03-01,2099-12-31
LJ94-120003,LTA500HR01-0 BIN ASSEMBLY,LJ94-120004,LTA500HR01-0 LC ASSEMBLY,LC,10,1,2026-03-01,2099-12-31
LJ94-120004,LTA500HR01-0 LC ASSEMBLY,LJ94-120005,LTA500HR01-0 CF ASSEMBLY,CF,10,1,2026-03-01,2099-12-31
LJ94-120005,LTA500HR01-0 CF ASSEMBLY,LJ94-120006,LTA500HR01-0 TFT ASSEMBLY,TFT,10,1,2026-03-01,2099-12-31
LTA500HR01-001,LTA500HR01-0 FA,0003-220001,FRAME,FA_FRAME,20,1,2026-03-01,2099-12-31
LTA500HR01-001,LTA500HR01-0 FA,0003-220002,BRACKET,FA_BRACKET,30,4,2026-03-01,2099-12-31
LJ94-120001,LTA500HR01-0 OLB ASSEMBLY,0003-220003,OLB DRIVER IC,OLB_DRIVER_IC,20,6,2026-03-01,2099-12-31
LJ94-120001,LTA500HR01-0 OLB ASSEMBLY,0003-220004,OLB FPCB,OLB_FPCB,30,2,2026-03-01,2099-12-31
LJ94-120002,LTA500HR01-0 CP ASSEMBLY,0003-220005,POLARIZER,CP_POLARIZER,20,2,2026-03-01,2099-12-31
LJ94-120002,LTA500HR01-0 CP ASSEMBLY,0003-220006,OPTICAL ADHESIVE,CP_ADHESIVE,30,1,2026-03-01,2099-12-31
LJ94-120003,LTA500HR01-0 BIN ASSEMBLY,0003-220007,BIN FILM,BIN_BIN_FILM,20,2,2026-03-01,2099-12-31
LJ94-120003,LTA500HR01-0 BIN ASSEMBLY,0003-220008,SPACER,BIN_SPACER,30,8,2026-03-01,2099-12-31
LJ94-120004,LTA500HR01-0 LC ASSEMBLY,0003-220009,LIQUID CRYSTAL,LC_LIQUID_CRYSTAL,20,1,2026-03-01,2099-12-31
LJ94-120004,LTA500HR01-0 LC ASSEMBLY,0003-220010,LC SEALANT,LC_SEALANT,30,1,2026-03-01,2099-12-31
LJ94-120005,LTA500HR01-0 CF ASSEMBLY,0003-220011,COLOR FILTER GLASS,CF_CF_GLASS,20,1,2026-03-01,2099-12-31
LJ94-120005,LTA500HR01-0 CF ASSEMBLY,0003-220012,BLACK MATRIX MATERIAL,CF_BLACK_MATRIX,30,1,2026-03-01,2099-12-31
LJ94-120006,LTA500HR01-0 TFT ASSEMBLY,0003-220013,TFT ARRAY GLASS,TFT_TFT_GLASS,10,1,2026-03-01,2099-12-31
LJ94-120006,LTA500HR01-0 TFT ASSEMBLY,0003-220014,GATE DRIVER IC,TFT_GATE_IC,20,4,2026-03-01,2099-12-31
MODEL,MODEL,LTA550HR01-0,55IN UHD 120HZ LCD MODEL,MODEL,40,1,2026-05-01,2099-12-31
LTA550HR01-0,55IN UHD 120HZ LCD MODEL,LTA550HR01-001,LTA550HR01-0 FA,FA,10,1,2026-05-01,2099-12-31
LTA550HR01-001,LTA550HR01-0 FA,LJ94-130001,LTA550HR01-0 OLB ASSEMBLY,OLB,10,1,2026-05-01,2099-12-31
LJ94-130001,LTA550HR01-0 OLB ASSEMBLY,LJ94-130002,LTA550HR01-0 CP ASSEMBLY,CP,10,1,2026-05-01,2099-12-31
LJ94-130002,LTA550HR01-0 CP ASSEMBLY,LJ94-130003,LTA550HR01-0 BIN ASSEMBLY,BIN,10,1,2026-05-01,2099-12-31
LJ94-130003,LTA550HR01-0 BIN ASSEMBLY,LJ94-130004,LTA550HR01-0 LC ASSEMBLY,LC,10,1,2026-05-01,2099-12-31
LJ94-130004,LTA550HR01-0 LC ASSEMBLY,LJ94-130005,LTA550HR01-0 CF ASSEMBLY,CF,10,1,2026-05-01,2099-12-31
LJ94-130005,LTA550HR01-0 CF ASSEMBLY,LJ94-130006,LTA550HR01-0 TFT ASSEMBLY,TFT,10,1,2026-05-01,2099-12-31
LTA550HR01-001,LTA550HR01-0 FA,0004-230001,FRAME,FA_FRAME,20,1,2026-05-01,2099-12-31
LTA550HR01-001,LTA550HR01-0 FA,0004-230002,BRACKET,FA_BRACKET,30,4,2026-05-01,2099-12-31
LJ94-130001,LTA550HR01-0 OLB ASSEMBLY,0004-230003,OLB DRIVER IC,OLB_DRIVER_IC,20,6,2026-05-01,2099-12-31
LJ94-130001,LTA550HR01-0 OLB ASSEMBLY,0004-230004,OLB FPCB,OLB_FPCB,30,2,2026-05-01,2099-12-31
LJ94-130002,LTA550HR01-0 CP ASSEMBLY,0004-230005,POLARIZER,CP_POLARIZER,20,2,2026-05-01,2099-12-31
LJ94-130002,LTA550HR01-0 CP ASSEMBLY,0004-230006,OPTICAL ADHESIVE,CP_ADHESIVE,30,1,2026-05-01,2099-12-31
LJ94-130003,LTA550HR01-0 BIN ASSEMBLY,0004-230007,BIN FILM,BIN_BIN_FILM,20,2,2026-05-01,2099-12-31
LJ94-130003,LTA550HR01-0 BIN ASSEMBLY,0004-230008,SPACER,BIN_SPACER,30,8,2026-05-01,2099-12-31
LJ94-130004,LTA550HR01-0 LC ASSEMBLY,0004-230009,LIQUID CRYSTAL,LC_LIQUID_CRYSTAL,20,1,2026-05-01,2099-12-31
LJ94-130004,LTA550HR01-0 LC ASSEMBLY,0004-230010,LC SEALANT,LC_SEALANT,30,1,2026-05-01,2099-12-31
LJ94-130005,LTA550HR01-0 CF ASSEMBLY,0004-230011,COLOR FILTER GLASS,CF_CF_GLASS,20,1,2026-05-01,2099-12-31
LJ94-130005,LTA550HR01-0 CF ASSEMBLY,0004-230012,BLACK MATRIX MATERIAL,CF_BLACK_MATRIX,30,1,2026-05-01,2099-12-31
LJ94-130006,LTA550HR01-0 TFT ASSEMBLY,0004-230013,TFT ARRAY GLASS,TFT_TFT_GLASS,10,1,2026-05-01,2099-12-31
LJ94-130006,LTA550HR01-0 TFT ASSEMBLY,0004-230014,GATE DRIVER IC,TFT_GATE_IC,20,4,2026-05-01,2099-12-31
LJ94-190001,ALT OLB 40IN FHD 120HZ,9000-290001,OLB DRIVER IC,OLB_DRIVER_IC,10,6,2026-04-01,2099-12-31
LJ94-190004,ALT LC 40IN HIGH TRANS,9000-290003,LIQUID CRYSTAL,LC_LIQUID_CRYSTAL,10,1,2026-04-01,2099-12-31
LJ94-190004,ALT LC 40IN HIGH TRANS,9000-290004,LC SEALANT,LC_SEALANT,20,1,2026-04-01,2099-12-31
LJ94-190005,ALT CF 40IN WIDE COLOR,9000-290005,COLOR FILTER GLASS,CF_CF_GLASS,10,1,2026-04-01,2099-12-31
