change_id,product_id,bom_parent,bom_parent_name,bom_child,bom_child_name,location,sequence_no,quantity,level,bom_path,required_quantity,change_action,created_date
CHG-20260812-DF4E64,LTA400HR01-0,MODEL,MODEL,LTA400HR01-0,40IN FHD 60HZ LCD MODEL,MODEL,10,1,1,LTA400HR01-0,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LTA400HR01-0,40IN FHD 60HZ LCD MODEL,LTA400HR01-001,LTA400HR01-0 FA,FA,10,1,2,LTA400HR01-0/LTA400HR01-001,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LTA400HR01-001,LTA400HR01-0 FA,LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,OLB,10,1,3,LTA400HR01-0/LTA400HR01-001/LJ94-100001,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,LJ94-100002,LTA400HR01-0 CP ASSEMBLY,CP,10,1,4,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100002,LTA400HR01-0 CP ASSEMBLY,LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,BIN,10,1,5,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,LJ94-100004,LTA400HR01-0 LC ASSEMBLY,LC,10,1,6,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100004,LTA400HR01-0 LC ASSEMBLY,LJ94-100005,LTA400HR01-0 CF ASSEMBLY,CF,10,1,7,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/LJ94-100005,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100005,LTA400HR01-0 CF ASSEMBLY,LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,TFT,10,1,8,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/LJ94-100005/LJ94-100006,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,0001-200013,TFT ARRAY GLASS,TFT_TFT_GLASS,10,1,9,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/LJ94-100005/LJ94-100006/0001-200013,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,0001-200014,GATE DRIVER IC,TFT_GATE_IC,20,4,9,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/LJ94-100005/LJ94-100006/0001-200014,4.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100005,LTA400HR01-0 CF ASSEMBLY,0001-200011,COLOR FILTER GLASS,CF_CF_GLASS,20,1,8,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/LJ94-100005/0001-200011,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100005,LTA400HR01-0 CF ASSEMBLY,0001-200012,BLACK MATRIX MATERIAL,CF_BLACK_MATRIX,30,1,8,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/LJ94-100005/0001-200012,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100004,LTA400HR01-0 LC ASSEMBLY,0001-200009,LIQUID CRYSTAL,LC_LIQUID_CRYSTAL,20,1,7,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/0001-200009,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100004,LTA400HR01-0 LC ASSEMBLY,9000-290004,LC SEALANT,LC_SEALANT,30,1,7,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/LJ94-100004/0001-200010,1.0,REPLACE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,0001-200007,BIN FILM,BIN_BIN_FILM,20,2,6,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/0001-200007,2.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,0001-200008,SPACER,BIN_SPACER,30,8,6,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/LJ94-100003/0001-200008,8.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100002,LTA400HR01-0 CP ASSEMBLY,0001-200005,POLARIZER,CP_POLARIZER,20,2,5,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/0001-200005,2.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100002,LTA400HR01-0 CP ASSEMBLY,0001-200006,OPTICAL ADHESIVE,CP_ADHESIVE,30,1,5,LTA400HR01-0/LTA400HR01-001/LJ94-100001/LJ94-100002/0001-200006,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,0001-200003,OLB DRIVER IC,OLB_DRIVER_IC,20,6,4,LTA400HR01-0/LTA400HR01-001/LJ94-100001/0001-200003,6.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,0001-200004,OLB FPCB,OLB_FPCB,30,2,4,LTA400HR01-0/LTA400HR01-001/LJ94-100001/0001-200004,2.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LTA400HR01-001,LTA400HR01-0 FA,0001-200001,FRAME,FA_FRAME,20,1,3,LTA400HR01-0/LTA400HR01-001/0001-200001,1.0,NONE,2026-08-12
CHG-20260812-DF4E64,LTA400HR01-0,LTA400HR01-001,LTA400HR01-0 FA,0001-200002,BRACKET,FA_BRACKET,30,4,3,LTA400HR01-0/LTA400HR01-001/0001-200002,4.0,NONE,2026-08-12
CHG-20260812-D83862,LTA400HR01-0,MODEL,MODEL,LTA400HR01-0,40IN FHD 60HZ LCD MODEL,MODEL,10,1,1,LTA400HR01-0,1.0,NONE,2026-08-12
CHG-20260812-D83862,LTA400HR01-0,LTA400HR01-0,40IN FHD 60HZ LCD MODEL,LTA400HR02-001,LTA400HR02-0 FA,FA,10,1,2,LTA400HR01-0/LTA400HR02-001,1.0,REPLACE,2026-08-12
CHG-20260812-D83862,LTA400HR01-0,LTA400HR02-001,LTA400HR02-0 FA,LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,OLB,10,1,3,LTA400HR01-0/LTA400HR02-001/LJ94-110001,1.0,ADD,2026-08-12
CHG-20260812-D83862,LTA400HR01-0,LTA400HR02-001,LTA400HR02-0 FA,0002-210001,FRAME,FA_FRAME,20,1,3,LTA400HR01-0/LTA400HR02-001/0002-210001,1.0,ADD,2026-08-12
CHG-20260812-D83862,LTA400HR01-0,LTA400HR02-001,LTA400HR02-0 FA,0002-210002,BRACKET,FA_BRACKET,30,4,3,LTA400HR01-0/LTA400HR02-001/0002-210002,4.0,ADD,2026-08-12
CHG-20260812-D83862,LTA400HR01-0,LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,LJ94-110002,LTA400HR02-0 CP ASSEMBLY,CP,10,1,4,LTA400HR01-0/LTA400HR02-001/LJ94-110001/LJ94-110002,1.0,ADD,2026-08-12
