table_name,column_name,description_ko,data_type,key_type
products,product_id,모델 ID,TEXT,PK
products,product_name,모델명,TEXT,
products,product_type,제품 유형,TEXT,
products,screen_size_inch,화면 크기,INTEGER,
products,resolution,해상도,TEXT,
products,refresh_hz,주사율,INTEGER,
products,version,모델 버전,TEXT,
products,status,모델 상태,TEXT,
products,effective_date,모델 적용일,DATE,
products,market,적용 시장,TEXT,
materials,material_id,자재 ID,TEXT,PK
materials,material_name,자재명,TEXT,
materials,material_type,ASSEMBLY/COMPONENT,TEXT,
materials,category,FA/OLB/CP/BIN/LC/CF/TFT,TEXT,
materials,unit,단위,TEXT,
materials,supplier_id,공급사 ID,TEXT,FK
materials,approval_status,승인 상태,TEXT,
materials,lifecycle_status,Lifecycle 상태,TEXT,
materials,start_date,자재 유효 시작일,DATE,
materials,end_date,자재 유효 종료일,DATE,
materials,specification,사양 원문,TEXT,
bom_hierarchy,nominal_level,표준 Assembly 계층 레벨,INTEGER,
bom_hierarchy,node_type,노드 유형,TEXT,
bom_hierarchy,material_type,자재 유형,TEXT,
bom_hierarchy,expected_parent_type,기대 상위 유형,TEXT,
bom_hierarchy,location,표준 위치,TEXT,
bom_hierarchy,description_ko,설명,TEXT,
material_attributes,material_id,자재 ID,TEXT,FK
material_attributes,attribute_name,속성명,TEXT,
material_attributes,attribute_value,속성값,TEXT,
material_attributes,unit,단위,TEXT,
compatibility,compatibility_id,호환성 ID,TEXT,PK
compatibility,source_material_id,기준 자재,TEXT,FK
compatibility,target_type,MODEL/MATERIAL,TEXT,
compatibility,target_id,대상 ID,TEXT,
compatibility,result,COMPATIBLE/CONDITIONAL/INCOMPATIBLE,TEXT,
compatibility,reason,판정 사유,TEXT,
compatibility,active_yn,활성 여부,TEXT,
rules,rule_id,Rule ID,TEXT,PK
rules,rule_type,Rule 유형,TEXT,
rules,rule_name,Rule명,TEXT,
rules,scope,Rule 적용 범위,TEXT,
rules,condition,사람이 읽는 조건,TEXT,
rules,severity,ERROR/WARNING,TEXT,
rules,active_yn,활성 여부,TEXT,
rules,metric,기계 판정 Metric,TEXT,
rules,operator,비교 연산자,TEXT,
rules,expected_value,기대값,TEXT,
rules,expected_value_max,최대 기대값,TEXT,
rules,unit,단위,TEXT,
rules,aggregation,집계 방식,TEXT,
rules,target_category,대상 Assembly Category,TEXT,
rules,message_ko,판정 메시지,TEXT,
change_history,change_id,변경 ID,TEXT,PK
change_history,change_date,변경일,DATE,
change_history,product_id,대상 모델,TEXT,FK
change_history,change_type,REPLACE/ADD/REMOVE,TEXT,
change_history,old_material_id,변경 전 자재,TEXT,
change_history,new_material_id,변경 후 자재,TEXT,
change_history,reason,변경 사유,TEXT,
change_history,approval_status,승인 상태,TEXT,
change_history,analysis_result,분석 결과,TEXT,
review_checklist,check_id,검토 ID,TEXT,PK
review_checklist,check_type,검토 유형,TEXT,
review_checklist,check_name,검토명,TEXT,
review_checklist,category,검토 영역,TEXT,
review_checklist,severity,심각도,TEXT,
review_checklist,required_yn,필수 여부,TEXT,
review_checklist,check_description,검토 설명,TEXT,
review_checklist,purpose,목적,TEXT,
suppliers,supplier_id,공급사 ID,TEXT,PK
suppliers,supplier_name,공급사명,TEXT,
suppliers,country,국가,TEXT,
suppliers,specialty,전문 분야,TEXT,
suppliers,grade,등급,TEXT,
suppliers,quality_score,품질 점수,INTEGER,
suppliers,status,상태,TEXT,
test_questions,test_id,테스트 ID,TEXT,PK
test_questions,test_type,테스트 유형,TEXT,
test_questions,question,자연어 질문,TEXT,
test_questions,expected_status,기대 상태,TEXT,
test_questions,expected_result,기대 결과,TEXT,
bom,bom_parent,상위 BOM ID; 최상위는 MODEL,TEXT,
bom,bom_parent_name,상위 BOM명,TEXT,
bom,bom_child,하위 BOM/자재 ID,TEXT,
bom,bom_child_name,하위 BOM/자재명,TEXT,
bom,location,하위 항목의 위치/역할,TEXT,
bom,sequence_no,동일 Parent 내 Child 정렬/관계 순서; 10 단위 채번,INTEGER,
bom,quantity,Parent 1개 기준 Child 직접 소요수량,NUMBER,
bom,start_date,BOM 관계 유효 시작일,DATE,
bom,end_date,BOM 관계 유효 종료일,DATE,
