material_id,attribute_name,attribute_value,unit
LTA400HR01-001,SCREEN_SIZE_INCH,40,IN
LTA400HR01-001,RESOLUTION,FHD,
LTA400HR01-001,REFRESH_HZ,60,HZ
LJ94-100001,SCREEN_SIZE_INCH,40,IN
LJ94-100001,RESOLUTION,FHD,
LJ94-100001,REFRESH_HZ,60,HZ
LJ94-100002,SCREEN_SIZE_INCH,40,IN
LJ94-100002,RESOLUTION,FHD,
LJ94-100002,REFRESH_HZ,60,HZ
LJ94-100003,SCREEN_SIZE_INCH,40,IN
LJ94-100003,RESOLUTION,FHD,
LJ94-100003,REFRESH_HZ,60,HZ
LJ94-100004,SCREEN_SIZE_INCH,40,IN
LJ94-100004,RESOLUTION,FHD,
LJ94-100004,REFRESH_HZ,60,HZ
LJ94-100004,LC_TRANSMITTANCE,5.1,%
LJ94-100005,SCREEN_SIZE_INCH,40,IN
LJ94-100005,RESOLUTION,FHD,
LJ94-100005,REFRESH_HZ,60,HZ
LJ94-100005,COLOR_GAMUT,72,%
LJ94-100006,SCREEN_SIZE_INCH,40,IN
LJ94-100006,RESOLUTION,FHD,
LJ94-100006,REFRESH_HZ,60,HZ
LJ94-100006,TFT_REFRESH_CAPABILITY,60,HZ
LTA400HR02-001,SCREEN_SIZE_INCH,40,IN
LTA400HR02-001,RESOLUTION,FHD,
LTA400HR02-001,REFRESH_HZ,120,HZ
LJ94-110001,SCREEN_SIZE_INCH,40,IN
LJ94-110001,RESOLUTION,FHD,
LJ94-110001,REFRESH_HZ,120,HZ
LJ94-110002,SCREEN_SIZE_INCH,40,IN
LJ94-110002,RESOLUTION,FHD,
LJ94-110002,REFRESH_HZ,120,HZ
LJ94-110003,SCREEN_SIZE_INCH,40,IN
LJ94-110003,RESOLUTION,FHD,
LJ94-110003,REFRESH_HZ,120,HZ
LJ94-110004,SCREEN_SIZE_INCH,40,IN
LJ94-110004,RESOLUTION,FHD,
LJ94-110004,REFRESH_HZ,120,HZ
LJ94-110004,LC_TRANSMITTANCE,5.1,%
LJ94-110005,SCREEN_SIZE_INCH,40,IN
LJ94-110005,RESOLUTION,FHD,
LJ94-110005,REFRESH_HZ,120,HZ
LJ94-110005,COLOR_GAMUT,72,%
LJ94-110006,SCREEN_SIZE_INCH,40,IN
LJ94-110006,RESOLUTION,FHD,
LJ94-110006,REFRESH_HZ,120,HZ
LJ94-110006,TFT_REFRESH_CAPABILITY,120,HZ
LTA500HR01-001,SCREEN_SIZE_INCH,50,IN
LTA500HR01-001,RESOLUTION,UHD,
LTA500HR01-001,REFRESH_HZ,60,HZ
LJ94-120001,SCREEN_SIZE_INCH,50,IN
LJ94-120001,RESOLUTION,UHD,
LJ94-120001,REFRESH_HZ,60,HZ
LJ94-120002,SCREEN_SIZE_INCH,50,IN
LJ94-120002,RESOLUTION,UHD,
LJ94-120002,REFRESH_HZ,60,HZ
LJ94-120003,SCREEN_SIZE_INCH,50,IN
LJ94-120003,RESOLUTION,UHD,
LJ94-120003,REFRESH_HZ,60,HZ
LJ94-120004,SCREEN_SIZE_INCH,50,IN
LJ94-120004,RESOLUTION,UHD,
LJ94-120004,REFRESH_HZ,60,HZ
LJ94-120004,LC_TRANSMITTANCE,5.4,%
LJ94-120005,SCREEN_SIZE_INCH,50,IN
LJ94-120005,RESOLUTION,UHD,
LJ94-120005,REFRESH_HZ,60,HZ
LJ94-120005,COLOR_GAMUT,82,%
LJ94-120006,SCREEN_SIZE_INCH,50,IN
LJ94-120006,RESOLUTION,UHD,
LJ94-120006,REFRESH_HZ,60,HZ
LJ94-120006,TFT_REFRESH_CAPABILITY,60,HZ
LTA550HR01-001,SCREEN_SIZE_INCH,55,IN
LTA550HR01-001,RESOLUTION,UHD,
LTA550HR01-001,REFRESH_HZ,120,HZ
LJ94-130001,SCREEN_SIZE_INCH,55,IN
LJ94-130001,RESOLUTION,UHD,
LJ94-130001,REFRESH_HZ,120,HZ
LJ94-130002,SCREEN_SIZE_INCH,55,IN
LJ94-130002,RESOLUTION,UHD,
LJ94-130002,REFRESH_HZ,120,HZ
LJ94-130003,SCREEN_SIZE_INCH,55,IN
LJ94-130003,RESOLUTION,UHD,
LJ94-130003,REFRESH_HZ,120,HZ
LJ94-130004,SCREEN_SIZE_INCH,55,IN
LJ94-130004,RESOLUTION,UHD,
LJ94-130004,REFRESH_HZ,120,HZ
LJ94-130004,LC_TRANSMITTANCE,5.7,%
LJ94-130005,SCREEN_SIZE_INCH,55,IN
LJ94-130005,RESOLUTION,UHD,
LJ94-130005,REFRESH_HZ,120,HZ
LJ94-130005,COLOR_GAMUT,90,%
LJ94-130006,SCREEN_SIZE_INCH,55,IN
LJ94-130006,RESOLUTION,UHD,
LJ94-130006,REFRESH_HZ,120,HZ
LJ94-130006,TFT_REFRESH_CAPABILITY,120,HZ
LJ94-190001,SCREEN_SIZE_INCH,40,IN
LJ94-190001,REFRESH_HZ,120,HZ
LJ94-190004,LC_TRANSMITTANCE,5.9,%
LJ94-190005,COLOR_GAMUT,92,%
LJ94-190006,TFT_REFRESH_CAPABILITY,60,HZ
