material_id,material_name,material_type,category,unit,supplier_id,approval_status,lifecycle_status,start_date,end_date,specification
LTA400HR01-001,LTA400HR01-0 FA,ASSEMBLY,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,40IN/FHD/60HZ
LJ94-100001,LTA400HR01-0 OLB ASSEMBLY,ASSEMBLY,OLB,EA,SUP-002,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/40IN/FHD/60HZ
LJ94-100002,LTA400HR01-0 CP ASSEMBLY,ASSEMBLY,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/40IN/FHD/60HZ
LJ94-100003,LTA400HR01-0 BIN ASSEMBLY,ASSEMBLY,BIN,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/40IN/FHD/60HZ
LJ94-100004,LTA400HR01-0 LC ASSEMBLY,ASSEMBLY,LC,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/40IN/FHD/60HZ
LJ94-100005,LTA400HR01-0 CF ASSEMBLY,ASSEMBLY,CF,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/40IN/FHD/60HZ
LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,ASSEMBLY,TFT,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/40IN/FHD/60HZ
LTA400HR02-001,LTA400HR02-0 FA,ASSEMBLY,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,40IN/FHD/120HZ
LJ94-110001,LTA400HR02-0 OLB ASSEMBLY,ASSEMBLY,OLB,EA,SUP-002,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/40IN/FHD/120HZ
LJ94-110002,LTA400HR02-0 CP ASSEMBLY,ASSEMBLY,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/40IN/FHD/120HZ
LJ94-110003,LTA400HR02-0 BIN ASSEMBLY,ASSEMBLY,BIN,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/40IN/FHD/120HZ
LJ94-110004,LTA400HR02-0 LC ASSEMBLY,ASSEMBLY,LC,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/40IN/FHD/120HZ
LJ94-110005,LTA400HR02-0 CF ASSEMBLY,ASSEMBLY,CF,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/40IN/FHD/120HZ
LJ94-110006,LTA400HR02-0 TFT ASSEMBLY,ASSEMBLY,TFT,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/40IN/FHD/120HZ
LTA500HR01-001,LTA500HR01-0 FA,ASSEMBLY,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,50IN/UHD/60HZ
LJ94-120001,LTA500HR01-0 OLB ASSEMBLY,ASSEMBLY,OLB,EA,SUP-002,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/50IN/UHD/60HZ
LJ94-120002,LTA500HR01-0 CP ASSEMBLY,ASSEMBLY,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/50IN/UHD/60HZ
LJ94-120003,LTA500HR01-0 BIN ASSEMBLY,ASSEMBLY,BIN,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/50IN/UHD/60HZ
LJ94-120004,LTA500HR01-0 LC ASSEMBLY,ASSEMBLY,LC,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/50IN/UHD/60HZ
LJ94-120005,LTA500HR01-0 CF ASSEMBLY,ASSEMBLY,CF,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/50IN/UHD/60HZ
LJ94-120006,LTA500HR01-0 TFT ASSEMBLY,ASSEMBLY,TFT,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/50IN/UHD/60HZ
