alias,normalized_value,alias_type,active_yn
인치,IN,UNIT,Y
inch,IN,UNIT,Y
inches,IN,UNIT,Y
hz,HZ,UNIT,Y
헤르츠,HZ,UNIT,Y
모델,MODEL,PRODUCT_TERM,Y
제품,MODEL,PRODUCT_TERM,Y
조립품,ASSEMBLY,MATERIAL_TYPE,Y
조립체,ASSEMBLY,MATERIAL_TYPE,Y
assy,ASSEMBLY,MATERIAL_TYPE,Y
assembly,ASSEMBLY,MATERIAL_TYPE,Y
부품,COMPONENT,MATERIAL_TYPE,Y
component,COMPONENT,MATERIAL_TYPE,Y
실란트,SEALANT,MATERIAL_TERM,Y
실런트,SEALANT,MATERIAL_TERM,Y
sealant,SEALANT,MATERIAL_TERM,Y
엘씨,LC,CATEGORY,Y
lc,LC,CATEGORY,Y
에프에이,FA,CATEGORY,Y
fa,FA,CATEGORY,Y
올비,OLB,CATEGORY,Y
olb,OLB,CATEGORY,Y
씨피,CP,CATEGORY,Y
cp,CP,CATEGORY,Y
씨에프,CF,CATEGORY,Y
cf,CF,CATEGORY,Y
티에프티,TFT,CATEGORY,Y
tft,TFT,CATEGORY,Y
폴라라이저,POLARIZER,MATERIAL_TERM,Y
편광판,POLARIZER,MATERIAL_TERM,Y
접착제,ADHESIVE,MATERIAL_TERM,Y
광학접착제,OPTICAL ADHESIVE,MATERIAL_TERM,Y
프레임,FRAME,MATERIAL_TERM,Y
브라켓,BRACKET,MATERIAL_TERM,Y
브래킷,BRACKET,MATERIAL_TERM,Y
스페이서,SPACER,MATERIAL_TERM,Y
