rule_id,rule_type,rule_name,scope,condition,severity,active_yn,metric,operator,expected_value,expected_value_max,unit,aggregation,target_category,message_ko
RULE-001,REQUIRED_LOCATION,Model must contain FA,ALL,LOCATION=FA,ERROR,Y,LOCATION_EXISTS,EXISTS,FA,,,EXISTS,FA,모든 모델에는 FA가 존재해야 합니다.
RULE-002,REQUIRED_LOCATION,Model must contain OLB,ALL,LOCATION=OLB,ERROR,Y,LOCATION_EXISTS,EXISTS,OLB,,,EXISTS,OLB,모든 모델에는 OLB가 존재해야 합니다.
RULE-003,REQUIRED_LOCATION,Model must contain CP,ALL,LOCATION=CP,ERROR,Y,LOCATION_EXISTS,EXISTS,CP,,,EXISTS,CP,모든 모델에는 CP가 존재해야 합니다.
RULE-004,REQUIRED_LOCATION,Model must contain BIN,ALL,LOCATION=BIN,ERROR,Y,LOCATION_EXISTS,EXISTS,BIN,,,EXISTS,BIN,모든 모델에는 BIN이 존재해야 합니다.
RULE-005,REQUIRED_LOCATION,Model must contain LC,ALL,LOCATION=LC,ERROR,Y,LOCATION_EXISTS,EXISTS,LC,,,EXISTS,LC,모든 모델에는 LC가 존재해야 합니다.
RULE-006,REQUIRED_LOCATION,Model must contain CF,ALL,LOCATION=CF,ERROR,Y,LOCATION_EXISTS,EXISTS,CF,,,EXISTS,CF,모든 모델에는 CF가 존재해야 합니다.
RULE-007,REQUIRED_LOCATION,Model must contain TFT,ALL,LOCATION=TFT,ERROR,Y,LOCATION_EXISTS,EXISTS,TFT,,,EXISTS,TFT,모든 모델에는 TFT가 존재해야 합니다.
RULE-008,MATERIAL_STATUS,Discontinued material cannot be active,ALL,LIFECYCLE_STATUS!=DISCONTINUED,ERROR,Y,LIFECYCLE_STATUS,NOT_IN,DISCONTINUED,,,ALL,,단종 자재는 현재 유효 BOM에 사용할 수 없습니다.
RULE-009,APPROVAL_STATUS,Only approved or conditional material can be used,ALL,APPROVAL_STATUS=APPROVED|CONDITIONAL,ERROR,Y,APPROVAL_STATUS,IN,APPROVED|CONDITIONAL,,,ALL,,미승인 또는 거절 자재는 사용할 수 없습니다.
RULE-010,SUPPLIER_GRADE,Grade C supplier requires review,ALL,SUPPLIER_GRADE!=C,WARNING,Y,SUPPLIER_GRADE,NOT_IN,C,,,ALL,,Grade C 공급사 자재는 추가 검토가 필요합니다.
RULE-011,MODEL_ATTRIBUTE,40IN FHD 120Hz model needs OLB >=120Hz,PRODUCT=LTA400HR02-0,REFRESH_HZ>=120,ERROR,Y,REFRESH_HZ,>=,120,,HZ,MAX,OLB,해당 모델 OLB는 120Hz 이상을 지원해야 합니다.
RULE-012,MODEL_ATTRIBUTE,55IN 120Hz model needs TFT >=120Hz,PRODUCT=LTA550HR01-0,TFT_REFRESH_CAPABILITY>=120,ERROR,Y,TFT_REFRESH_CAPABILITY,>=,120,,HZ,MAX,TFT,55인치 120Hz 모델의 TFT는 120Hz 이상을 지원해야 합니다.
RULE-013,MODEL_ATTRIBUTE,50IN UHD model LC transmittance minimum,PRODUCT=LTA500HR01-0,LC_TRANSMITTANCE>=5.3,WARNING,Y,LC_TRANSMITTANCE,>=,5.3,,%,MAX,LC,50인치 UHD 모델의 LC 투과율은 5.3% 이상을 권장합니다.
RULE-014,MODEL_ATTRIBUTE,55IN UHD model color gamut minimum,PRODUCT=LTA550HR01-0,COLOR_GAMUT>=88,WARNING,Y,COLOR_GAMUT,>=,88,,%,MAX,CF,55인치 UHD 모델의 CF 색재현율은 88% 이상을 권장합니다.
